,0
1991-12-02,34.1296928327658
1991-12-03,0.0
1991-12-04,11.372251705840341
1991-12-05,0.0
1991-12-06,0.0
1991-12-09,0.0
1991-12-10,0.0
1991-12-11,67.77108433735195
1991-12-12,0.0
1991-12-13,0.0
1991-12-16,44.84304932735808
1991-12-17,0.0
1991-12-18,0.0
1991-12-19,0.0
1991-12-20,0.0
1991-12-23,0.0
1991-12-24,44.70938897168152
1991-12-25,44.67609828742004
1991-12-26,22.338049143713192
1991-12-27,11.169024571856596
1991-12-30,0.0
1991-12-31,111.27596439169139
1992-01-02,77.89317507418903
1992-01-03,77.89317507418903
1992-01-06,66.76557863501736
1992-01-07,33.38278931750868
1992-01-08,11.123470522799321
1992-01-09,22.246941045604967
1992-01-10,0.0
1992-01-13,0.0
1992-01-14,0.0
1992-01-15,0.0
1992-01-16,0.0
1992-01-17,55.43237250554323
1992-01-20,44.34589800443837
1992-01-21,66.5188470066544
1992-01-22,66.5188470066544
1992-01-23,22.17294900222233
1992-01-24,0.0
1992-01-27,22.12389380530848
1992-01-28,33.1369661266581
1992-01-29,154.6391752577357
1992-01-30,0.0
1992-01-31,0.0
1992-02-07,0.0
1992-02-10,0.0
1992-02-11,0.0
1992-02-12,0.0
1992-02-13,0.0
1992-02-14,0.0
1992-02-17,0.0
1992-02-19,109.7293343087052
1992-02-20,21.945866861739795
1992-02-21,21.945866861739795
1992-02-24,21.945866861739795
1992-02-25,21.945866861739795
1992-02-26,0.0
1992-02-27,4.381161007663048
1992-02-28,0.0
1992-03-02,0.0
1992-03-03,21.865889212826747
1992-03-04,0.0
1992-03-05,0.0
1992-03-06,0.0
1992-03-09,0.0
1992-03-10,0.0
1992-03-11,10.865628395511344
1992-03-12,10.865628395511344
1992-03-13,0.0
1992-03-16,0.0
1992-03-17,0.0
1992-03-18,0.0
1992-03-19,0.0
1992-03-20,0.0
1992-03-23,0.0
1992-03-24,0.0
1992-03-25,0.0
1992-03-26,0.0
1992-03-27,0.0
1992-03-30,0.0
1992-03-31,0.0
1992-04-01,0.0
1992-04-02,0.0
1992-04-03,0.0
1992-04-06,0.0
1992-04-07,0.0
1992-04-08,0.0
1992-04-09,0.0
1992-04-10,0.0
1992-04-13,0.0
1992-04-14,0.0
1992-04-15,0.0
1992-04-16,0.0
1992-04-17,21.497671085637275
1992-04-20,0.0
1992-04-21,0.0
1992-04-22,10.741138560689874
1992-04-23,10.741138560689874
1992-04-24,10.741138560689874
1992-04-27,21.482277121373645
1992-04-28,0.0
1992-04-29,0.0
1992-04-30,0.0
1992-05-04,0.0
1992-05-06,0.0
1992-05-07,21.482277121373645
1992-05-12,332.97529538131283
1992-06-03,354.4575725026865
1992-06-04,354.4575725026865
1992-06-19,2073.0397422126757
1992-07-28,0.0
1992-08-12,7360.5150214592295
1993-01-04,266.6649662683494
1993-01-05,0.0
1993-01-06,1288.5357548240647
1993-01-07,1071.6231555051088
1993-01-08,144.12454536184129
1993-01-11,393.1292695743571
1993-01-12,592.2569440978903
1993-01-13,857.245516153823
1993-01-14,508.96186581397205
1993-01-15,806.7552602436289
1993-01-18,852.7131782945725
1993-01-19,2540.6976744186013
1993-01-20,2736.9878183831647
1993-01-21,1035.9911406422991
1993-01-22,275.74750830564255
1993-01-27,340.91817076093884
1993-01-28,900.4643138050899
1993-01-29,1069.4440920508484
1993-02-01,487.06081217047966
1993-02-02,9.517177344477295
1993-02-03,1269.5686387264225
1993-02-04,582.0289767445391
1993-02-05,995.1580206221654
1993-02-08,812.70873743929
1993-02-09,17.86552514134592
1993-02-10,1048.6364726894685
1993-02-11,2716.058433076532
1993-02-12,2963.972489536961
1993-02-15,874.2957062366428
1993-02-16,979.7768703983576
1993-02-17,1008.3271710124421
1993-02-18,1106.5170562325202
1993-02-19,2200.6880365238108
1993-02-22,1964.569334147834
1993-02-23,4031.765424557116
1993-02-24,6919.203935311707
1993-02-25,5659.711281869917
1993-02-26,4519.049609362441
1993-03-01,6856.31611098608
1993-03-02,7114.619168568951
1993-03-03,6464.71401472527
1993-03-04,8176.574606951099
1993-03-05,10204.224672861139
1993-03-08,8134.713693212873
1993-03-09,8205.124907565189
1993-03-10,8985.435488538085
1993-03-11,6923.4478989165045
1993-03-12,6245.571166768478
1993-03-15,7396.4569334147845
1993-03-16,7717.26200045012
1993-03-17,6974.761277047233
1993-03-18,6807.193532420391
1993-03-19,6623.374032399649
1993-03-22,9092.106678137432
1993-03-23,10674.938165394127
1993-03-24,10021.36410135074
1993-03-25,10923.875601082818
1993-03-26,10251.845872274685
1993-03-29,9927.000187892747
1993-03-30,8360.889009350862
1993-03-31,8481.220272265047
1993-04-01,8547.06061529089
1993-04-02,7962.229667986596
1993-04-05,8338.527144497293
1993-04-06,7763.068488015182
1993-04-07,4777.993861149508
1993-04-08,4235.103915274491
1993-04-09,1942.6354126483448
1993-04-12,2870.498536386122
1993-04-13,2745.694252195421
1993-04-14,1684.6309196941163
1993-04-15,1500.6013297329162
1993-04-16,2501.5316889423407
1993-04-19,3093.1039960062617
1993-04-20,2004.8106378633488
1993-04-21,2314.098345775943
1993-04-22,2310.0138419297004
1993-04-23,1502.189747895347
1993-04-26,897.0024280106192
1993-04-27,404.51490833170516
1993-04-28,468.0193993171088
1993-04-29,675.2789195537277
1993-04-30,931.6891759639882
1993-05-03,640.4819381918628
1993-05-04,3150.866662317046
1993-05-05,3813.9666383941217
1993-05-06,4957.264957264959
1993-05-07,4790.456927861508
1993-05-10,5839.15095365477
1993-05-11,5910.4847654465975
1993-05-12,5339.161827711446
1993-05-13,5202.583675866119
1993-05-14,4746.308257758639
1993-05-17,6129.053304625827
1993-05-18,5451.817054870491
1993-05-19,5480.52456449403
1993-05-20,5020.986929383878
1993-05-21,5355.037950457798
1993-05-24,7714.925730192906
1993-05-25,9006.763663252215
1993-05-26,8405.428329092452
1993-05-27,9473.145297159122
1993-05-28,9101.914250856911
1993-05-31,9548.621030655973
1993-06-01,11112.405230194485
1993-06-02,9934.91509378143
1993-06-03,6935.5161189708815
1993-06-04,6441.9900990890865
1993-06-07,5786.623052140181
1993-06-08,4004.4545992504454
1993-06-09,3231.113294817277
1993-06-10,3559.968148010096
1993-06-11,3971.1637836097784
1993-06-14,4836.2502753164035
1993-06-15,4980.718593391657
1993-06-16,4586.001868682577
1993-06-17,4568.928905121888
1993-06-18,4792.91599422407
1993-06-21,5340.015289221098
1993-06-22,4347.30570540971
1993-06-23,3308.7434668989536
1993-06-24,3481.8706445993025
1993-06-25,3325.0762195121947
1993-06-28,3215.1023519163737
1993-06-29,2707.6981707317054
1993-06-30,2673.6716027874545
1993-07-01,3321.8096689895465
1993-07-02,3133.166376306618
1993-07-05,4037.2540238184433
1993-07-06,5440.58641270073
1993-07-07,6154.591403058193
1993-07-08,4920.332670605694
1993-07-09,5724.452008678087
1993-07-12,6238.205856204651
1993-07-13,5518.081963922108
1993-07-14,5919.99152125948
1993-07-15,5991.386370424613
1993-07-16,5740.781778415828
1993-07-19,5815.067107304243
1993-07-20,6783.088766632303
1993-07-21,6639.142876412722
1993-07-22,6757.652545067398
1993-07-23,6544.624189461312
1993-07-26,7228.800739962813
1993-07-27,7519.872048097584
1993-07-28,7129.657285454145
1993-07-29,6842.632648931971
1993-07-30,5716.726618705034
1993-08-02,4620.367580596566
1993-08-03,4484.626332333337
1993-08-04,3689.819057564842
1993-08-05,2047.851756849391
1993-08-06,2091.9664772350366
1993-08-09,1165.6400642742346
1993-08-10,1212.421723530853
1993-08-11,1192.6993960733648
1993-08-12,132.03931094422185
1993-08-13,222.7195455230136
1993-08-16,78.87411073306386
1993-08-17,1984.037144337217
1993-08-18,2719.3453694288323
1993-08-19,2818.921356075288
1993-08-20,3005.410487135705
1993-08-23,4424.512192782183
1993-08-24,4872.028548953398
1993-08-25,3962.3184512960247
1993-08-26,4213.848544732451
1993-08-27,4493.006657585237
1993-08-30,4544.521402121987
1993-08-31,4271.694710385451
1993-09-01,4485.236277124384
1993-09-02,4300.18610540857
1993-09-03,3934.402640010745
1993-09-06,3127.7220314268734
1993-09-07,3860.152337829285
1993-09-08,4197.732200072911
1993-09-09,4075.1328639128183
1993-09-10,4454.154755280983
1993-09-13,4859.941290458743
1993-09-14,5088.448034381537
1993-09-15,4782.237485850234
1993-09-16,3072.3429592140515
1993-09-17,3214.5940390544706
1993-09-20,3307.0914696813975
1993-09-21,2280.2812737562294
1993-09-22,2093.0821859954403
1993-09-23,2072.810203564492
1993-09-24,2620.7872286510687
1993-09-27,2240.3708083453002
1993-09-28,2001.8582650561716
1993-09-29,1953.0788073316994
1993-09-30,2013.578004899064
1993-10-04,1767.1467184728428
1993-10-05,1966.3822958020116
1993-10-06,2144.395641523779
1993-10-07,2094.665934622856
1993-10-08,1239.2126761335624
1993-10-11,1481.0022479302625
1993-10-12,1257.018435828285
1993-10-13,1656.9034882178707
1993-10-14,1864.4723462575716
1993-10-15,1650.9350546001137
1993-10-18,2304.8101153897164
1993-10-19,2254.41000928423
1993-10-20,2214.620451832529
1993-10-21,2416.8840355453376
1993-10-22,2849.9270524780068
1993-10-25,4317.8301428003015
1993-10-26,4099.319156461382
1993-10-27,4255.824749104736
1993-10-28,4194.150935054601
1993-10-29,3148.680313011186
1993-11-01,3203.448736799893
1993-11-02,2904.357706189015
1993-11-03,3107.5390990509295
1993-11-04,3488.8383905894925
1993-11-05,3164.3496858708745
1993-11-08,2627.6567303836387
1993-11-09,1359.051191728808
1993-11-10,1568.004025801731
1993-11-11,1297.2917333821329
1993-11-12,4.543706965852135
1993-11-15,0.0
1993-11-16,481.8614465945297
1993-11-17,302.7207830108206
1993-11-18,109.8594379751952
1993-11-19,92.90177538268078
1993-11-22,849.3841045994772
1993-11-23,188.3199765646251
1993-11-24,326.10742608441234
1993-11-25,0.0
1993-11-26,706.3008645065831
1993-11-29,922.7822315012827
1993-11-30,231.37966331877325
1993-12-01,669.6388136906604
1993-12-02,882.7880483460307
1993-12-03,711.6044562077934
1993-12-06,421.16598065756034
1993-12-07,0.0
1993-12-08,1172.3213858448562
1993-12-09,2150.5479255395476
1993-12-10,2503.7086663157374
1993-12-13,2785.663013829733
1993-12-14,3729.7219696607135
1993-12-15,4049.2893716801414
1993-12-16,3926.9751638991206
1993-12-17,4604.871512657316
1993-12-20,8452.600851796906
1993-12-21,7635.162942049097
1993-12-22,6465.138536632052
1993-12-23,6440.445997033066
1993-12-24,6202.9956453079385
1993-12-27,5944.011102072065
1993-12-28,5991.673445949178
1993-12-29,6454.227879599942
1993-12-30,6560.463224386273
1993-12-31,6299.181700722589
1994-01-03,6121.165717567114
1994-01-04,6171.9864095324665
1994-01-05,6366.942623343061
1994-01-06,5572.187395319901
1994-01-07,4241.920572788607
1994-01-10,2929.6565992576207
1994-01-11,3004.3364075001527
1994-01-12,1787.5606416067767
1994-01-13,1677.1294732481438
1994-01-14,3148.720563398233
1994-01-17,1561.856696991831
1994-01-18,2574.208114748654
1994-01-19,3631.3832259778205
1994-01-20,4173.915930672685
1994-01-21,3604.8210372534677
1994-01-24,2627.000464838303
1994-01-25,2932.133607809282
1994-01-26,3095.159041104984
1994-01-27,2988.246231489475
1994-01-28,3601.500763662923
1994-01-31,4740.022577860415
1994-02-01,5077.694402018725
1994-02-02,4995.019589614183
1994-02-03,4261.239126103988
1994-02-04,4024.1715917391575
1994-02-14,4132.080483431833
1994-02-15,4711.468224981738
1994-02-16,4329.968789428248
1994-02-17,4543.343739237667
1994-02-18,4399.364536233655
1994-02-21,4916.289869241109
1994-02-22,3886.9668191422675
1994-02-23,3563.13278249738
1994-02-24,3165.525141397989
1994-02-25,2599.2172398157613
1994-02-28,2401.260052979498
1994-03-01,2914.94642388373
1994-03-02,3487.6977782020363
1994-03-03,3634.377188111163
1994-03-04,3445.7180565060125
1994-03-07,3822.5877407371227
1994-03-08,3991.6456784814814
1994-03-09,3831.3164199275157
1994-03-10,4419.9275139750625
1994-03-11,4409.2388967381285
1994-03-14,2312.7956262669695
1994-03-15,1745.1931936851165
1994-03-16,1277.910984564664
